Year,Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,id,id_3char,name
2018,af,Africa,afzaf,South Africa,zaf,1173111793.85754,afago,ago,Angola
2018,as,Asia,asare,United Arab Emirates,are,550977917,afago,ago,Angola
2018,as,Asia,aschn,China,chn,21989016448.593803,afago,ago,Angola
2018,as,Asia,asidn,Indonesia,idn,577649813.7628859,afago,ago,Angola
2018,as,Asia,asind,India,ind,3190161288.4440303,afago,ago,Angola
2018,as,Asia,asisr,Israel,isr,281473038.305851,afago,ago,Angola
2018,as,Asia,asjpn,Japan,jpn,191641016.34063601,afago,ago,Angola
2018,as,Asia,asmys,Malaysia,mys,216473721.44203398,afago,ago,Angola
2018,as,Asia,assgp,Singapore,sgp,379210162.99999994,afago,ago,Angola
2018,as,Asia,astha,Thailand,tha,704631284.579424,afago,ago,Angola
2018,as,Asia,asxxb,Chinese Taipei,,192115991.303601,afago,ago,Angola
2018,eu,Europe,eudeu,Germany,deu,44451065.8541022,afago,ago,Angola
2018,eu,Europe,euesp,Spain,esp,1208869219.5725498,afago,ago,Angola
2018,eu,Europe,eufra,France,fra,574435022.1758851,afago,ago,Angola
2018,eu,Europe,eugbr,United Kingdom,gbr,63925706.3571261,afago,ago,Angola
2018,eu,Europe,euita,Italy,ita,443053172.049795,afago,ago,Angola
2018,eu,Europe,eunld,Netherlands,nld,55576896.3729989,afago,ago,Angola
2018,eu,Europe,euprt,Portugal,prt,1098645087.05041,afago,ago,Angola
2018,na,North America,nacan,Canada,can,682789431,afago,ago,Angola
2018,na,North America,napan,Panama,pan,129360980,afago,ago,Angola
2018,na,North America,nausa,United States,usa,1336539768.3240302,afago,ago,Angola
2018,oc,Oceania,ocaus,Australia,aus,23234357.8225629,afago,ago,Angola
2018,sa,South America,saury,Uruguay,ury,355356780.562936,afago,ago,Angola
2018,af,Africa,afzaf,South Africa,zaf,53462770.2654185,afciv,civ,Cote d'Ivoire
2018,eu,Europe,eudeu,Germany,deu,276667969.625085,afciv,civ,Cote d'Ivoire
2018,eu,Europe,euesp,Spain,esp,48871983.8483907,afciv,civ,Cote d'Ivoire
2018,eu,Europe,eufra,France,fra,82854366.1857914,afciv,civ,Cote d'Ivoire
2018,eu,Europe,eugbr,United Kingdom,gbr,9085,afciv,civ,Cote d'Ivoire
2018,eu,Europe,eunld,Netherlands,nld,31725036.7709409,afciv,civ,Cote d'Ivoire
2018,na,North America,nacan,Canada,can,130541322.60822901,afciv,civ,Cote d'Ivoire
2018,na,North America,nausa,United States,usa,87362952.6632233,afciv,civ,Cote d'Ivoire
2018,as,Asia,aschn,China,chn,563532625.2481179,afcmr,cmr,Cameroon
2018,as,Asia,asind,India,ind,145077880.715058,afcmr,cmr,Cameroon
2018,as,Asia,assgp,Singapore,sgp,23330993.3196887,afcmr,cmr,Cameroon
2018,eu,Europe,eudeu,Germany,deu,44558394.5229442,afcmr,cmr,Cameroon
2018,eu,Europe,euesp,Spain,esp,163830856.35357198,afcmr,cmr,Cameroon
2018,eu,Europe,eufra,France,fra,122995726.31768401,afcmr,cmr,Cameroon
2018,eu,Europe,euita,Italy,ita,331074967.918412,afcmr,cmr,Cameroon
2018,eu,Europe,eunld,Netherlands,nld,60257806.200345,afcmr,cmr,Cameroon
2018,na,North America,nausa,United States,usa,43343414.5470327,afcmr,cmr,Cameroon
2018,as,Asia,aschn,China,chn,211653265.42799103,afcod,cod,Democratic Republic of the Congo
2018,as,Asia,asidn,Indonesia,idn,153877260.540462,afcod,cod,Democratic Republic of the Congo
2018,as,Asia,askor,South Korea,kor,20692674.0561429,afcod,cod,Democratic Republic of the Congo
2018,eu,Europe,eufra,France,fra,1050.76743075117,afcod,cod,Democratic Republic of the Congo
2018,as,Asia,aschn,China,chn,5545539792.99306,afcog,cog,Republic of the Congo
2018,as,Asia,asind,India,ind,278004489.011579,afcog,cog,Republic of the Congo
2018,as,Asia,askor,South Korea,kor,56298059.7520363,afcog,cog,Republic of the Congo
2018,as,Asia,asmys,Malaysia,mys,18629027.0841749,afcog,cog,Republic of the Congo
2018,as,Asia,assgp,Singapore,sgp,190746103.60581103,afcog,cog,Republic of the Congo
2018,eu,Europe,euesp,Spain,esp,128420859.92654501,afcog,cog,Republic of the Congo
2018,eu,Europe,eufra,France,fra,2123.2415026529397,afcog,cog,Republic of the Congo
2018,na,North America,nausa,United States,usa,249480524.74532,afcog,cog,Republic of the Congo
2018,oc,Oceania,ocaus,Australia,aus,349261045.733067,afcog,cog,Republic of the Congo
2018,af,Africa,afegy,Egypt,egy,129416335.501284,afdza,dza,Algeria
2018,as,Asia,asare,United Arab Emirates,are,49422087.7832567,afdza,dza,Algeria
2018,as,Asia,aschn,China,chn,366792710.834544,afdza,dza,Algeria
2018,as,Asia,asidn,Indonesia,idn,321444216.513869,afdza,dza,Algeria
2018,as,Asia,asind,India,ind,895952489.485987,afdza,dza,Algeria
2018,as,Asia,asjpn,Japan,jpn,86780277.0503965,afdza,dza,Algeria
2018,as,Asia,askor,South Korea,kor,1007417357.69187,afdza,dza,Algeria
2018,as,Asia,asmys,Malaysia,mys,42074283.682585806,afdza,dza,Algeria
2018,as,Asia,astha,Thailand,tha,280701941.599946,afdza,dza,Algeria
2018,as,Asia,asxxb,Chinese Taipei,,78631692.07368821,afdza,dza,Algeria
2018,eu,Europe,euaut,Austria,aut,85446805.51663192,afdza,dza,Algeria
2018,eu,Europe,eublx,Belgium-Luxembourg,blx,923880562,afdza,dza,Algeria
2018,eu,Europe,euche,Switzerland,che,14190268.4415766,afdza,dza,Algeria
2018,eu,Europe,eucze,Czechia,cze,38554763.19279049,afdza,dza,Algeria
2018,eu,Europe,eudeu,Germany,deu,416393640.674103,afdza,dza,Algeria
2018,eu,Europe,euesp,Spain,esp,598570317.188696,afdza,dza,Algeria
2018,eu,Europe,eufra,France,fra,2648584128.85773,afdza,dza,Algeria
2018,eu,Europe,eugbr,United Kingdom,gbr,2521879549.0831203,afdza,dza,Algeria
2018,eu,Europe,eugrc,Greece,grc,31991441.009662002,afdza,dza,Algeria
2018,eu,Europe,euirl,Ireland,irl,89942719.25551221,afdza,dza,Algeria
2018,eu,Europe,euita,Italy,ita,816050746.8118199,afdza,dza,Algeria
2018,eu,Europe,eunld,Netherlands,nld,734001916.5199721,afdza,dza,Algeria
2018,eu,Europe,euprt,Portugal,prt,460089579.75685495,afdza,dza,Algeria
2018,eu,Europe,euukr,Ukraine,ukr,6651558.39991037,afdza,dza,Algeria
2018,na,North America,nausa,United States,usa,1939095395.8646202,afdza,dza,Algeria
2018,oc,Oceania,ocaus,Australia,aus,479593220.798044,afdza,dza,Algeria
2018,sa,South America,sabra,Brazil,bra,883304469.688206,afdza,dza,Algeria
2018,af,Africa,afuga,Uganda,uga,4230.25176956995,afegy,egy,Egypt
2018,as,Asia,aschn,China,chn,732692691.723393,afegy,egy,Egypt
2018,as,Asia,asind,India,ind,800147140.2091858,afegy,egy,Egypt
2018,as,Asia,asisr,Israel,isr,231477784.35324898,afegy,egy,Egypt
2018,as,Asia,asmys,Malaysia,mys,170219659,afegy,egy,Egypt
2018,eu,Europe,eubgr,Bulgaria,bgr,484145806.436179,afegy,egy,Egypt
2018,eu,Europe,euche,Switzerland,che,66417315.99999999,afegy,egy,Egypt
2018,eu,Europe,eudeu,Germany,deu,559355861.579463,afegy,egy,Egypt
2018,eu,Europe,euesp,Spain,esp,122077181.805142,afegy,egy,Egypt
2018,eu,Europe,eufra,France,fra,34247454.8238024,afegy,egy,Egypt
2018,eu,Europe,eugbr,United Kingdom,gbr,54287524.124957,afegy,egy,Egypt
2018,eu,Europe,eugrc,Greece,grc,480425113.978624,afegy,egy,Egypt
