Year,Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,id,id_3char,name
2013,af,Africa,afzaf,South Africa,zaf,1937035041,afago,ago,Angola
2013,as,Asia,aschn,China,chn,28391044480,afago,ago,Angola
2013,as,Asia,asidn,Indonesia,idn,188552016.38,afago,ago,Angola
2013,as,Asia,asind,India,ind,6052187041.6,afago,ago,Angola
2013,as,Asia,asjpn,Japan,jpn,191152575.84,afago,ago,Angola
2013,as,Asia,askor,South Korea,kor,19223227.648000002,afago,ago,Angola
2013,as,Asia,asmys,Malaysia,mys,39697238.504,afago,ago,Angola
2013,as,Asia,assgp,Singapore,sgp,125462232.00999999,afago,ago,Angola
2013,as,Asia,astha,Thailand,tha,168951377.19,afago,ago,Angola
2013,eu,Europe,eudeu,Germany,deu,486338806.8,afago,ago,Angola
2013,eu,Europe,euesp,Spain,esp,2583195150.2,afago,ago,Angola
2013,eu,Europe,eufra,France,fra,1072936238.3000001,afago,ago,Angola
2013,eu,Europe,eugbr,United Kingdom,gbr,875973841.26,afago,ago,Angola
2013,eu,Europe,euirl,Ireland,irl,149320511.8,afago,ago,Angola
2013,eu,Europe,euita,Italy,ita,632501839.9,afago,ago,Angola
2013,eu,Europe,eunld,Netherlands,nld,1189320471.6000001,afago,ago,Angola
2013,eu,Europe,euprt,Portugal,prt,3113873152.7999997,afago,ago,Angola
2013,na,North America,nacan,Canada,can,1345946025.8,afago,ago,Angola
2013,na,North America,nausa,United States,usa,7256586864.7,afago,ago,Angola
2013,oc,Oceania,ocaus,Australia,aus,29126021.098,afago,ago,Angola
2013,sa,South America,sabra,Brazil,bra,554830479.75,afago,ago,Angola
2013,sa,South America,saper,Peru,per,188528193.26,afago,ago,Angola
2013,sa,South America,saury,Uruguay,ury,283894494.48,afago,ago,Angola
2013,af,Africa,afgha,Ghana,gha,16310400.677000001,afciv,civ,Cote d'Ivoire
2013,eu,Europe,eudeu,Germany,deu,451475206.98999995,afciv,civ,Cote d'Ivoire
2013,eu,Europe,eugbr,United Kingdom,gbr,62117852.99999999,afciv,civ,Cote d'Ivoire
2013,eu,Europe,euita,Italy,ita,9219235,afciv,civ,Cote d'Ivoire
