Year,Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,id,id_3char,name
2004,af,Africa,afzaf,South Africa,zaf,259912672,afago,ago,Angola
2004,as,Asia,aschn,China,chn,4181715521.2,afago,ago,Angola
2004,as,Asia,asidn,Indonesia,idn,295681915.54999995,afago,ago,Angola
2004,as,Asia,askor,South Korea,kor,120975302.48,afago,ago,Angola
2004,eu,Europe,euesp,Spain,esp,181262491.04000002,afago,ago,Angola
2004,eu,Europe,eufra,France,fra,729409697.12,afago,ago,Angola
2004,eu,Europe,euita,Italy,ita,23367325.228,afago,ago,Angola
2004,na,North America,nausa,United States,usa,4037483443.1,afago,ago,Angola
2004,sa,South America,sachl,Chile,chl,383896994.01,afago,ago,Angola
2004,eu,Europe,euche,Switzerland,che,28849514,afciv,civ,Cote d'Ivoire
2004,eu,Europe,euesp,Spain,esp,10131739.942,afciv,civ,Cote d'Ivoire
2004,eu,Europe,eugbr,United Kingdom,gbr,1002,afciv,civ,Cote d'Ivoire
2004,eu,Europe,euita,Italy,ita,86761883.492,afciv,civ,Cote d'Ivoire
2004,eu,Europe,euprt,Portugal,prt,7234811.5509,afciv,civ,Cote d'Ivoire
2004,na,North America,nausa,United States,usa,175873031.70999998,afciv,civ,Cote d'Ivoire
2004,sa,South America,sachl,Chile,chl,34220322.497,afciv,civ,Cote d'Ivoire
2004,af,Africa,afciv,Cote d'Ivoire,civ,13674411.216999998,afcmr,cmr,Cameroon
2004,af,Africa,afzaf,South Africa,zaf,26300423.321999997,afcmr,cmr,Cameroon
2004,as,Asia,aschn,China,chn,42608823.692999996,afcmr,cmr,Cameroon
2004,as,Asia,askor,South Korea,kor,237515368.09,afcmr,cmr,Cameroon
2004,as,Asia,asmys,Malaysia,mys,32332015.55,afcmr,cmr,Cameroon
2004,as,Asia,assgp,Singapore,sgp,28299848.891000003,afcmr,cmr,Cameroon
2004,as,Asia,asxxb,Chinese Taipei,,29976262.000000004,afcmr,cmr,Cameroon
2004,eu,Europe,eudeu,Germany,deu,5415867.6928,afcmr,cmr,Cameroon
2004,eu,Europe,euesp,Spain,esp,397072975.41999996,afcmr,cmr,Cameroon
2004,eu,Europe,eufra,France,fra,82595755.301,afcmr,cmr,Cameroon
2004,eu,Europe,eugbr,United Kingdom,gbr,9977646.546,afcmr,cmr,Cameroon
2004,eu,Europe,euita,Italy,ita,230514503.45999998,afcmr,cmr,Cameroon
2004,eu,Europe,euprt,Portugal,prt,31563346.407999996,afcmr,cmr,Cameroon
2004,na,North America,nausa,United States,usa,163389200.17,afcmr,cmr,Cameroon
2004,na,North America,nausa,United States,usa,77290057.05499999,afcod,cod,Democratic Republic of the Congo
2004,as,Asia,aschn,China,chn,1187709131.3,afcog,cog,Republic of the Congo
2004,as,Asia,askor,South Korea,kor,250731740.28000003,afcog,cog,Republic of the Congo
2004,eu,Europe,eufra,France,fra,29915536.310000002,afcog,cog,Republic of the Congo
2004,eu,Europe,euita,Italy,ita,31645469.496,afcog,cog,Republic of the Congo
2004,na,North America,natto,Trinidad and Tobago,tto,138860002.07000002,afcog,cog,Republic of the Congo
2004,na,North America,nausa,United States,usa,633023030.46,afcog,cog,Republic of the Congo
2004,as,Asia,aschn,China,chn,222662747.16,afdza,dza,Algeria
2004,as,Asia,asidn,Indonesia,idn,160833619.84,afdza,dza,Algeria
2004,as,Asia,asjpn,Japan,jpn,81842358.541,afdza,dza,Algeria
2004,as,Asia,askor,South Korea,kor,96686499.98200001,afdza,dza,Algeria
2004,as,Asia,askwt,Kuwait,kwt,39727828,afdza,dza,Algeria
2004,as,Asia,assgp,Singapore,sgp,24425895.796,afdza,dza,Algeria
2004,as,Asia,astha,Thailand,tha,89362403.022,afdza,dza,Algeria
2004,as,Asia,astjk,Tajikistan,tjk,47725310.99999999,afdza,dza,Algeria
2004,as,Asia,astur,Turkey,tur,134135465.50999998,afdza,dza,Algeria
2004,eu,Europe,euaut,Austria,aut,75175570.91000001,afdza,dza,Algeria
2004,eu,Europe,eublx,Belgium-Luxembourg,blx,621862062.5,afdza,dza,Algeria
2004,eu,Europe,euche,Switzerland,che,119935883.71,afdza,dza,Algeria
2004,eu,Europe,eucze,Czechia,cze,50114003.635,afdza,dza,Algeria
2004,eu,Europe,eudeu,Germany,deu,536880211.9100001,afdza,dza,Algeria
2004,eu,Europe,euesp,Spain,esp,952479651.19,afdza,dza,Algeria
2004,eu,Europe,eufra,France,fra,2217196992.5,afdza,dza,Algeria
2004,eu,Europe,eugbr,United Kingdom,gbr,385632641.98,afdza,dza,Algeria
2004,eu,Europe,eugrc,Greece,grc,58999964.00000001,afdza,dza,Algeria
2004,eu,Europe,euisl,Iceland,isl,25896712.000000004,afdza,dza,Algeria
2004,eu,Europe,euita,Italy,ita,1103441301.9,afdza,dza,Algeria
2004,eu,Europe,eunld,Netherlands,nld,1486332648.7,afdza,dza,Algeria
2004,eu,Europe,euprt,Portugal,prt,512614796.41,afdza,dza,Algeria
2004,na,North America,nabhs,Bahamas,bhs,54593723,afdza,dza,Algeria
2004,na,North America,nacan,Canada,can,2066167574.1999998,afdza,dza,Algeria
2004,na,North America,nausa,United States,usa,5286341815.2,afdza,dza,Algeria
2004,sa,South America,sabra,Brazil,bra,1507862098.5,afdza,dza,Algeria
2004,as,Asia,asind,India,ind,153385203,afegy,egy,Egypt
2004,as,Asia,askor,South Korea,kor,134496652.21,afegy,egy,Egypt
2004,as,Asia,assgp,Singapore,sgp,114136057.84,afegy,egy,Egypt
2004,as,Asia,astha,Thailand,tha,56810323.19,afegy,egy,Egypt
2004,as,Asia,astur,Turkey,tur,34066335.085,afegy,egy,Egypt
2004,eu,Europe,eudeu,Germany,deu,43862157.859,afegy,egy,Egypt
2004,eu,Europe,euesp,Spain,esp,42003545.202,afegy,egy,Egypt
2004,eu,Europe,eufra,France,fra,27075955.568,afegy,egy,Egypt
2004,eu,Europe,eugbr,United Kingdom,gbr,320461551.07,afegy,egy,Egypt
2004,eu,Europe,eugrc,Greece,grc,15558518.902,afegy,egy,Egypt
2004,eu,Europe,euita,Italy,ita,498674041.61999995,afegy,egy,Egypt
2004,oc,Oceania,ocaus,Australia,aus,8390.48881,afegy,egy,Egypt
2004,af,Africa,afdji,Djibouti,dji,25488.000000000004,afeth,eth,Ethiopia
2004,af,Africa,afciv,Cote d'Ivoire,civ,1160139,afgab,gab,Gabon
2004,af,Africa,afcmr,Cameroon,cmr,4896654.2549,afgab,gab,Gabon
2004,af,Africa,afzaf,South Africa,zaf,16839360.253,afgab,gab,Gabon
2004,as,Asia,aschn,China,chn,105404439.58,afgab,gab,Gabon
2004,as,Asia,asind,India,ind,25490655,afgab,gab,Gabon
2004,as,Asia,askor,South Korea,kor,27442264.883,afgab,gab,Gabon
2004,as,Asia,astha,Thailand,tha,34535716.33500001,afgab,gab,Gabon
2004,as,Asia,asxxb,Chinese Taipei,,21385409,afgab,gab,Gabon
2004,eu,Europe,euche,Switzerland,che,52905848,afgab,gab,Gabon
2004,eu,Europe,euesp,Spain,esp,24241745.308000002,afgab,gab,Gabon
2004,eu,Europe,eufra,France,fra,69865069.39,afgab,gab,Gabon
2004,eu,Europe,euisl,Iceland,isl,117021003.00000001,afgab,gab,Gabon
2004,na,North America,natto,Trinidad and Tobago,tto,78605627.813,afgab,gab,Gabon
2004,na,North America,nausa,United States,usa,2256883505.5,afgab,gab,Gabon
2004,sa,South America,sachl,Chile,chl,59563777.563999996,afgab,gab,Gabon
2004,af,Africa,afbfa,Burkina Faso,bfa,8057.169536,afgha,gha,Ghana
