Year,Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,id,id_3char,name
2006,af,Africa,afzaf,South Africa,zaf,363623218,afago,ago,Angola
2006,as,Asia,aschn,China,chn,9687715550.699999,afago,ago,Angola
2006,as,Asia,asind,India,ind,160491491.73000002,afago,ago,Angola
2006,as,Asia,asjpn,Japan,jpn,612056823.05,afago,ago,Angola
2006,as,Asia,askor,South Korea,kor,176128994.25,afago,ago,Angola
2006,as,Asia,assgp,Singapore,sgp,8978073.352500001,afago,ago,Angola
2006,as,Asia,astha,Thailand,tha,113498645,afago,ago,Angola
2006,eu,Europe,euche,Switzerland,che,54099640.05199999,afago,ago,Angola
2006,eu,Europe,eudeu,Germany,deu,62094739.892,afago,ago,Angola
2006,eu,Europe,euesp,Spain,esp,391592189.58,afago,ago,Angola
2006,eu,Europe,eufra,France,fra,1337616320.2,afago,ago,Angola
2006,eu,Europe,eunld,Netherlands,nld,50423645.545,afago,ago,Angola
2006,eu,Europe,euprt,Portugal,prt,42184322.956,afago,ago,Angola
2006,na,North America,nacan,Canada,can,473005360.46999997,afago,ago,Angola
2006,na,North America,natto,Trinidad and Tobago,tto,15211942.818000002,afago,ago,Angola
2006,na,North America,nausa,United States,usa,10382999850,afago,ago,Angola
2006,sa,South America,sabra,Brazil,bra,410711843.21999997,afago,ago,Angola
2006,sa,South America,sachl,Chile,chl,1173325532.3000002,afago,ago,Angola
2006,sa,South America,sacol,Colombia,col,29790500.341000002,afago,ago,Angola
2006,sa,South America,saper,Peru,per,52008050.644,afago,ago,Angola
2006,af,Africa,afcmr,Cameroon,cmr,26557990.159,afciv,civ,Cote d'Ivoire
2006,af,Africa,afnga,Nigeria,nga,6276023.9225,afciv,civ,Cote d'Ivoire
2006,as,Asia,aschn,China,chn,57981214.804,afciv,civ,Cote d'Ivoire
2006,eu,Europe,eudeu,Germany,deu,302725760.71,afciv,civ,Cote d'Ivoire
2006,eu,Europe,euesp,Spain,esp,48873753.514,afciv,civ,Cote d'Ivoire
2006,eu,Europe,eufra,France,fra,248647172.97,afciv,civ,Cote d'Ivoire
2006,eu,Europe,eugbr,United Kingdom,gbr,227144199,afciv,civ,Cote d'Ivoire
2006,eu,Europe,euita,Italy,ita,61175727.99999999,afciv,civ,Cote d'Ivoire
2006,eu,Europe,eunld,Netherlands,nld,48544300.643,afciv,civ,Cote d'Ivoire
2006,na,North America,nacan,Canada,can,65157623.861,afciv,civ,Cote d'Ivoire
2006,na,North America,nausa,United States,usa,148228387.84,afciv,civ,Cote d'Ivoire
2006,af,Africa,afciv,Cote d'Ivoire,civ,1555,afcmr,cmr,Cameroon
2006,af,Africa,afzaf,South Africa,zaf,21118460,afcmr,cmr,Cameroon
2006,as,Asia,asjpn,Japan,jpn,15373439.125,afcmr,cmr,Cameroon
2006,as,Asia,askor,South Korea,kor,374768458.65,afcmr,cmr,Cameroon
2006,as,Asia,asmys,Malaysia,mys,17925583.965,afcmr,cmr,Cameroon
2006,eu,Europe,euche,Switzerland,che,5759580,afcmr,cmr,Cameroon
2006,eu,Europe,euesp,Spain,esp,870493125.26,afcmr,cmr,Cameroon
2006,eu,Europe,eufra,France,fra,270282828.6,afcmr,cmr,Cameroon
2006,eu,Europe,eugbr,United Kingdom,gbr,43815111.511,afcmr,cmr,Cameroon
2006,eu,Europe,euita,Italy,ita,578493990.21,afcmr,cmr,Cameroon
2006,eu,Europe,eunld,Netherlands,nld,51019311.059,afcmr,cmr,Cameroon
2006,eu,Europe,euprt,Portugal,prt,46827027.211,afcmr,cmr,Cameroon
2006,na,North America,nausa,United States,usa,90158088.124,afcmr,cmr,Cameroon
2006,sa,South America,sabra,Brazil,bra,114163107.72,afcod,cod,Democratic Republic of the Congo
2006,af,Africa,afgha,Ghana,gha,105680431.22,afcog,cog,Republic of the Congo
2006,as,Asia,aschn,China,chn,2220746845,afcog,cog,Republic of the Congo
2006,as,Asia,askor,South Korea,kor,730349269.48,afcog,cog,Republic of the Congo
2006,eu,Europe,eufra,France,fra,98604608.621,afcog,cog,Republic of the Congo
2006,eu,Europe,euita,Italy,ita,102529858.32,afcog,cog,Republic of the Congo
2006,na,North America,natto,Trinidad and Tobago,tto,344816510.27,afcog,cog,Republic of the Congo
2006,na,North America,nausa,United States,usa,2573874730.6,afcog,cog,Republic of the Congo
2006,sa,South America,sabra,Brazil,bra,251222496.35999998,afcog,cog,Republic of the Congo
2006,sa,South America,sachl,Chile,chl,121241593.83,afcog,cog,Republic of the Congo
2006,af,Africa,afmar,Morocco,mar,3328.0000000000005,afdza,dza,Algeria
2006,as,Asia,aschn,China,chn,117146046.03,afdza,dza,Algeria
2006,as,Asia,asidn,Indonesia,idn,179793104.97000003,afdza,dza,Algeria
2006,as,Asia,asind,India,ind,263800953.05,afdza,dza,Algeria
2006,as,Asia,asjpn,Japan,jpn,27197633.51,afdza,dza,Algeria
2006,as,Asia,askor,South Korea,kor,480999385.46000004,afdza,dza,Algeria
2006,as,Asia,astha,Thailand,tha,226405907.38000003,afdza,dza,Algeria
2006,as,Asia,astur,Turkey,tur,4532612,afdza,dza,Algeria
2006,eu,Europe,euaut,Austria,aut,136324035.19,afdza,dza,Algeria
2006,eu,Europe,eublx,Belgium-Luxembourg,blx,1169272521,afdza,dza,Algeria
2006,eu,Europe,euche,Switzerland,che,91668059.082,afdza,dza,Algeria
2006,eu,Europe,eucze,Czechia,cze,6097526.1197,afdza,dza,Algeria
2006,eu,Europe,eudeu,Germany,deu,848023075.49,afdza,dza,Algeria
2006,eu,Europe,euesp,Spain,esp,1754441410.2,afdza,dza,Algeria
2006,eu,Europe,eufin,Finland,fin,60558774.094000004,afdza,dza,Algeria
2006,eu,Europe,eufra,France,fra,1962908062,afdza,dza,Algeria
2006,eu,Europe,eugbr,United Kingdom,gbr,901731814.9299998,afdza,dza,Algeria
2006,eu,Europe,eugrc,Greece,grc,378699,afdza,dza,Algeria
2006,eu,Europe,euirl,Ireland,irl,39155470.192,afdza,dza,Algeria
2006,eu,Europe,euisl,Iceland,isl,37366896,afdza,dza,Algeria
2006,eu,Europe,euita,Italy,ita,1345239639.4,afdza,dza,Algeria
2006,eu,Europe,eunld,Netherlands,nld,1910917805.1,afdza,dza,Algeria
2006,eu,Europe,euprt,Portugal,prt,1042334004.3000001,afdza,dza,Algeria
2006,na,North America,nabhs,Bahamas,bhs,194493463.99999997,afdza,dza,Algeria
2006,na,North America,nacan,Canada,can,3769900743.6000004,afdza,dza,Algeria
2006,na,North America,nausa,United States,usa,11663948685,afdza,dza,Algeria
2006,oc,Oceania,ocaus,Australia,aus,32037530.022000004,afdza,dza,Algeria
2006,sa,South America,sabra,Brazil,bra,1595025229.3,afdza,dza,Algeria
2006,sa,South America,sasur,Suriname,sur,36428297,afdza,dza,Algeria
2006,as,Asia,aschn,China,chn,21766760.943,afegy,egy,Egypt
2006,as,Asia,asind,India,ind,508382973.11,afegy,egy,Egypt
2006,as,Asia,asjor,Jordan,jor,24756.999999999996,afegy,egy,Egypt
2006,as,Asia,asmys,Malaysia,mys,16245422.862000002,afegy,egy,Egypt
2006,as,Asia,assgp,Singapore,sgp,27500185.971,afegy,egy,Egypt
2006,as,Asia,asyem,Yemen,yem,81383414,afegy,egy,Egypt
2006,eu,Europe,eudeu,Germany,deu,424239641.58,afegy,egy,Egypt
2006,eu,Europe,euesp,Spain,esp,166737469.61,afegy,egy,Egypt
2006,eu,Europe,eugrc,Greece,grc,28564566.013,afegy,egy,Egypt
2006,eu,Europe,euita,Italy,ita,952025327.1700001,afegy,egy,Egypt
2006,eu,Europe,eurou,Romania,rou,58727179.741,afegy,egy,Egypt
2006,na,North America,nausa,United States,usa,9376218.5618,afegy,egy,Egypt
2006,af,Africa,afgha,Ghana,gha,42680663.713,afgab,gab,Gabon
2006,af,Africa,afsen,Senegal,sen,40268923.768,afgab,gab,Gabon
2006,af,Africa,afzaf,South Africa,zaf,153328282.29,afgab,gab,Gabon
2006,as,Asia,aschn,China,chn,373168940.78000003,afgab,gab,Gabon
2006,as,Asia,asind,India,ind,60040547.352,afgab,gab,Gabon
2006,as,Asia,asjpn,Japan,jpn,61158840.726,afgab,gab,Gabon
2006,as,Asia,asmys,Malaysia,mys,73841768.525,afgab,gab,Gabon
2006,as,Asia,assgp,Singapore,sgp,121591294.21,afgab,gab,Gabon
2006,as,Asia,astha,Thailand,tha,193465762.32999998,afgab,gab,Gabon
2006,eu,Europe,euche,Switzerland,che,155751841,afgab,gab,Gabon
2006,eu,Europe,euesp,Spain,esp,95687297.243,afgab,gab,Gabon
2006,eu,Europe,eufra,France,fra,223342606.39000002,afgab,gab,Gabon
2006,eu,Europe,eugbr,United Kingdom,gbr,70175527.99999999,afgab,gab,Gabon
2006,na,North America,natto,Trinidad and Tobago,tto,216554227.43000004,afgab,gab,Gabon
2006,na,North America,nausa,United States,usa,1418852736.8999999,afgab,gab,Gabon
2006,sa,South America,sachl,Chile,chl,51274589.982,afgab,gab,Gabon
2006,na,North America,nacan,Canada,can,7598169.1252,afgha,gha,Ghana
2006,af,Africa,afgha,Ghana,gha,20889213.240000002,afgin,gin,Guinea
2006,as,Asia,asind,India,ind,135374137.78,afgin,gin,Guinea
2006,as,Asia,askor,South Korea,kor,38132203.613,afgin,gin,Guinea
2006,af,Africa,afcmr,Cameroon,cmr,95768069.734,afgnq,gnq,Equatorial Guinea
2006,as,Asia,aschn,China,chn,2167544030,afgnq,gnq,Equatorial Guinea
2006,as,Asia,asjpn,Japan,jpn,284032079.13000005,afgnq,gnq,Equatorial Guinea
2006,eu,Europe,eudeu,Germany,deu,63488347.395,afgnq,gnq,Equatorial Guinea
2006,eu,Europe,euesp,Spain,esp,889314238.4399999,afgnq,gnq,Equatorial Guinea
2006,eu,Europe,eufra,France,fra,70281416.702,afgnq,gnq,Equatorial Guinea
2006,eu,Europe,euita,Italy,ita,165118324.96,afgnq,gnq,Equatorial Guinea
2006,eu,Europe,eunld,Netherlands,nld,31947939.244000003,afgnq,gnq,Equatorial Guinea
2006,eu,Europe,eunor,Norway,nor,49246668.573,afgnq,gnq,Equatorial Guinea
2006,eu,Europe,euprt,Portugal,prt,442035506.6,afgnq,gnq,Equatorial Guinea
2006,na,North America,nacan,Canada,can,184715409.95,afgnq,gnq,Equatorial Guinea
2006,na,North America,nausa,United States,usa,1484461561.5,afgnq,gnq,Equatorial Guinea
2006,sa,South America,sabra,Brazil,bra,83176584.30399999,afgnq,gnq,Equatorial Guinea
2006,sa,South America,saury,Uruguay,ury,126985514.17999999,afgnq,gnq,Equatorial Guinea
2006,af,Africa,afbdi,Burundi,bdi,1616.6979276,afken,ken,Kenya
2006,af,Africa,afrwa,Rwanda,rwa,6356,afken,ken,Kenya
2006,af,Africa,afsdn,Sudan,sdn,58050,afken,ken,Kenya
2006,af,Africa,afzaf,South Africa,zaf,165967869,aflbr,lbr,Liberia
2006,as,Asia,askor,South Korea,kor,47150751.676,aflbr,lbr,Liberia
2006,af,Africa,aftun,Tunisia,tun,486214153.73,aflby,lby,Libya
2006,af,Africa,afzaf,South Africa,zaf,339182617,aflby,lby,Libya
2006,as,Asia,aschn,China,chn,1507121221.3999999,aflby,lby,Libya
2006,as,Asia,asidn,Indonesia,idn,375413188.26,aflby,lby,Libya
2006,as,Asia,astur,Turkey,tur,1876313695.6,aflby,lby,Libya
2006,eu,Europe,euaut,Austria,aut,534780242.63,aflby,lby,Libya
2006,eu,Europe,euche,Switzerland,che,1218488368.7,aflby,lby,Libya
2006,eu,Europe,eucze,Czechia,cze,83084317.322,aflby,lby,Libya
2006,eu,Europe,eudeu,Germany,deu,5568508243.599999,aflby,lby,Libya
2006,eu,Europe,euesp,Spain,esp,2843667796,aflby,lby,Libya
2006,eu,Europe,eufra,France,fra,1921372075.2,aflby,lby,Libya
2006,eu,Europe,eugbr,United Kingdom,gbr,467482678.86,aflby,lby,Libya
2006,eu,Europe,eugrc,Greece,grc,840101906.02,aflby,lby,Libya
2006,eu,Europe,euita,Italy,ita,10758157920.999998,aflby,lby,Libya
2006,eu,Europe,eunld,Netherlands,nld,729991622.27,aflby,lby,Libya
2006,eu,Europe,euprt,Portugal,prt,449731873.98,aflby,lby,Libya
2006,na,North America,nacan,Canada,can,52919544.019,aflby,lby,Libya
2006,na,North America,nausa,United States,usa,1931980049.9,aflby,lby,Libya
2006,sa,South America,sabra,Brazil,bra,156865760.11,aflby,lby,Libya
2006,af,Africa,afzaf,South Africa,zaf,126099233,afmrt,mrt,Mauritania
2006,as,Asia,aschn,China,chn,347303192.05999994,afmrt,mrt,Mauritania
2006,na,North America,nausa,United States,usa,47631686.168,afmrt,mrt,Mauritania
2006,af,Africa,afciv,Cote d'Ivoire,civ,1597466450.9,afnga,nga,Nigeria
2006,af,Africa,afcmr,Cameroon,cmr,732345528.15,afnga,nga,Nigeria
2006,af,Africa,afgha,Ghana,gha,501914685.76000005,afnga,nga,Nigeria
2006,af,Africa,afmli,Mali,mli,9863.676381399999,afnga,nga,Nigeria
2006,af,Africa,afsen,Senegal,sen,105706516.60000001,afnga,nga,Nigeria
2006,af,Africa,afzaf,South Africa,zaf,1353675516.8000002,afnga,nga,Nigeria
2006,as,Asia,aschn,China,chn,198252353.21,afnga,nga,Nigeria
2006,as,Asia,asind,India,ind,5601232175.200001,afnga,nga,Nigeria
2006,as,Asia,asjpn,Japan,jpn,640332131.0300001,afnga,nga,Nigeria
2006,as,Asia,askor,South Korea,kor,540916975.02,afnga,nga,Nigeria
2006,as,Asia,astha,Thailand,tha,25594793.167,afnga,nga,Nigeria
2006,eu,Europe,euaut,Austria,aut,584414710.28,afnga,nga,Nigeria
2006,eu,Europe,euche,Switzerland,che,739059674.18,afnga,nga,Nigeria
2006,eu,Europe,eudeu,Germany,deu,1458462430.6000001,afnga,nga,Nigeria
2006,eu,Europe,euesp,Spain,esp,2889497577.7,afnga,nga,Nigeria
2006,eu,Europe,eufin,Finland,fin,655410676,afnga,nga,Nigeria
2006,eu,Europe,eufra,France,fra,2035388916.2,afnga,nga,Nigeria
2006,eu,Europe,eugbr,United Kingdom,gbr,234166255.70000002,afnga,nga,Nigeria
2006,eu,Europe,eugrc,Greece,grc,16127696.466999998,afnga,nga,Nigeria
2006,eu,Europe,euita,Italy,ita,836490865.6100001,afnga,nga,Nigeria
2006,eu,Europe,eunld,Netherlands,nld,1004573025.9,afnga,nga,Nigeria
2006,eu,Europe,euprt,Portugal,prt,542046243.9100001,afnga,nga,Nigeria
2006,na,North America,nacan,Canada,can,614660663.68,afnga,nga,Nigeria
2006,na,North America,najam,Jamaica,jam,2675915.7493000003,afnga,nga,Nigeria
2006,na,North America,natto,Trinidad and Tobago,tto,343196514.82,afnga,nga,Nigeria
2006,na,North America,nausa,United States,usa,23997343446,afnga,nga,Nigeria
2006,sa,South America,sabra,Brazil,bra,3350737386.4,afnga,nga,Nigeria
2006,sa,South America,sachl,Chile,chl,403537856.48,afnga,nga,Nigeria
2006,sa,South America,saper,Peru,per,271336656.74,afnga,nga,Nigeria
2006,as,Asia,aschn,China,chn,1668857343.2,afsdn,sdn,Sudan
2006,as,Asia,asidn,Indonesia,idn,60192186.735,afsdn,sdn,Sudan
2006,as,Asia,asind,India,ind,57737619.473,afsdn,sdn,Sudan
2006,as,Asia,asjpn,Japan,jpn,2660150580.8,afsdn,sdn,Sudan
2006,as,Asia,askor,South Korea,kor,203269589.72000003,afsdn,sdn,Sudan
2006,eu,Europe,euita,Italy,ita,9168987.0392,afsdn,sdn,Sudan
2006,af,Africa,afciv,Cote d'Ivoire,civ,2089904,afsen,sen,Senegal
2006,af,Africa,afgin,Guinea,gin,90755,afsen,sen,Senegal
2006,af,Africa,afgmb,Gambia,gmb,1211251,afsen,sen,Senegal
2006,af,Africa,afgnb,Guinea-Bissau,gnb,1258155,afsen,sen,Senegal
2006,af,Africa,afmli,Mali,mli,9457521.999999998,afsen,sen,Senegal
2006,af,Africa,afsle,Sierra Leone,sle,973488.9999999999,afsen,sen,Senegal
2006,eu,Europe,eumlt,Malta,mlt,2105282,afsen,sen,Senegal
2006,eu,Europe,eunld,Netherlands,nld,7801323,afsen,sen,Senegal
2006,as,Asia,aschn,China,chn,205007095.79000002,aftcd,tcd,Chad
2006,as,Asia,asjpn,Japan,jpn,10732154.265999999,aftcd,tcd,Chad
2006,as,Asia,askor,South Korea,kor,49064091.703999996,aftcd,tcd,Chad
2006,as,Asia,astha,Thailand,tha,23295659.28,aftcd,tcd,Chad
2006,na,North America,nausa,United States,usa,1682467799.3000002,aftcd,tcd,Chad
2006,af,Africa,afnga,Nigeria,nga,27186417.018,aftgo,tgo,Togo
2006,as,Asia,astur,Turkey,tur,2002867.0000000002,aftun,tun,Tunisia
2006,eu,Europe,euaut,Austria,aut,64370435.801,aftun,tun,Tunisia
2006,eu,Europe,euche,Switzerland,che,3774909,aftun,tun,Tunisia
2006,eu,Europe,eudeu,Germany,deu,104667028.07,aftun,tun,Tunisia
2006,eu,Europe,euesp,Spain,esp,191548100.62,aftun,tun,Tunisia
2006,eu,Europe,eufra,France,fra,229399481.1,aftun,tun,Tunisia
2006,eu,Europe,eugbr,United Kingdom,gbr,94525938.00000001,aftun,tun,Tunisia
2006,eu,Europe,euita,Italy,ita,159892664.32000002,aftun,tun,Tunisia
2006,eu,Europe,eunld,Netherlands,nld,51117903.222,aftun,tun,Tunisia
2006,na,North America,nausa,United States,usa,166553329.72,aftun,tun,Tunisia
2006,af,Africa,afbdi,Burundi,bdi,3069.9438667,afuga,uga,Uganda
2006,af,Africa,aftza,Tanzania,tza,1002,afuga,uga,Uganda
2006,oc,Oceania,ocaus,Australia,aus,5270,afuga,uga,Uganda
2006,af,Africa,afago,Angola,ago,311645,afzaf,zaf,South Africa
2006,af,Africa,afcod,Democratic Republic of the Congo,cod,277836,afzaf,zaf,South Africa
2006,af,Africa,afken,Kenya,ken,2485.9999999999995,afzaf,zaf,South Africa
2006,af,Africa,afmoz,Mozambique,moz,137890.64586000002,afzaf,zaf,South Africa
2006,af,Africa,afmus,Mauritius,mus,92297.99999999999,afzaf,zaf,South Africa
2006,af,Africa,afnga,Nigeria,nga,861021.9999999999,afzaf,zaf,South Africa
2006,af,Africa,afsen,Senegal,sen,27994,afzaf,zaf,South Africa
2006,af,Africa,afzmb,Zambia,zmb,19289286.471,afzaf,zaf,South Africa
2006,af,Africa,afzwe,Zimbabwe,zwe,20446.958287,afzaf,zaf,South Africa
2006,as,Asia,aschn,China,chn,250875020.54,afzaf,zaf,South Africa
2006,as,Asia,assgp,Singapore,sgp,19194661.291,afzaf,zaf,South Africa
2006,eu,Europe,eugrc,Greece,grc,51215,afzaf,zaf,South Africa
2006,eu,Europe,eunld,Netherlands,nld,172495657,afzaf,zaf,South Africa
2006,oc,Oceania,ocaus,Australia,aus,2078.0000000000005,afzaf,zaf,South Africa
2006,af,Africa,afbdi,Burundi,bdi,16974.217838,asare,are,United Arab Emirates
2006,af,Africa,afcom,Comoros,com,1092.4706912,asare,are,United Arab Emirates
2006,af,Africa,afgab,Gabon,gab,2584.6018248,asare,are,United Arab Emirates
2006,af,Africa,afgin,Guinea,gin,1296.923424,asare,are,United Arab Emirates
2006,af,Africa,afken,Kenya,ken,413460494.85999995,asare,are,United Arab Emirates
2006,af,Africa,afmrt,Mauritania,mrt,10999.921360999999,asare,are,United Arab Emirates
2006,af,Africa,afsdn,Sudan,sdn,152842.67012999998,asare,are,United Arab Emirates
2006,af,Africa,aftza,Tanzania,tza,7608.388883300001,asare,are,United Arab Emirates
2006,af,Africa,afuga,Uganda,uga,3125.0967726,asare,are,United Arab Emirates
2006,af,Africa,afzaf,South Africa,zaf,182573021.29999998,asare,are,United Arab Emirates
2006,af,Africa,afzmb,Zambia,zmb,188419257.24,asare,are,United Arab Emirates
2006,as,Asia,asbgd,Bangladesh,bgd,89734295.08099999,asare,are,United Arab Emirates
2006,as,Asia,aschn,China,chn,1317145267,asare,are,United Arab Emirates
2006,as,Asia,asind,India,ind,2567138678.0000005,asare,are,United Arab Emirates
2006,as,Asia,asjpn,Japan,jpn,23038739566,asare,are,United Arab Emirates
2006,as,Asia,askor,South Korea,kor,9392308299.699999,asare,are,United Arab Emirates
2006,as,Asia,asmys,Malaysia,mys,459763695.66,asare,are,United Arab Emirates
2006,as,Asia,asomn,Oman,omn,1154315.3459,asare,are,United Arab Emirates
2006,as,Asia,aspak,Pakistan,pak,1022458467.3000001,asare,are,United Arab Emirates
2006,as,Asia,asphl,Philippines,phl,231050495.71999997,asare,are,United Arab Emirates
2006,as,Asia,assgp,Singapore,sgp,2336020424.3,asare,are,United Arab Emirates
2006,as,Asia,astha,Thailand,tha,6219969502.3,asare,are,United Arab Emirates
2006,as,Asia,asyem,Yemen,yem,24402.072389,asare,are,United Arab Emirates
2006,eu,Europe,eublx,Belgium-Luxembourg,blx,3702.5041722,asare,are,United Arab Emirates
2006,eu,Europe,eufra,France,fra,475416086.53000003,asare,are,United Arab Emirates
2006,eu,Europe,eugrc,Greece,grc,381633.77176,asare,are,United Arab Emirates
2006,na,North America,nausa,United States,usa,146904737.43,asare,are,United Arab Emirates
2006,oc,Oceania,ocaus,Australia,aus,721062692.82,asare,are,United Arab Emirates
2006,oc,Oceania,ocnzl,New Zealand,nzl,335417224.45,asare,are,United Arab Emirates
2006,as,Asia,ascyp,Cyprus,cyp,19358,asaze,aze,Azerbaijan
2006,as,Asia,asidn,Indonesia,idn,58436148.032000005,asaze,aze,Azerbaijan
2006,as,Asia,asind,India,ind,55154805.81,asaze,aze,Azerbaijan
2006,as,Asia,asisr,Israel,isr,573639608,asaze,aze,Azerbaijan
2006,as,Asia,askor,South Korea,kor,66423181,asaze,aze,Azerbaijan
2006,as,Asia,astha,Thailand,tha,35462695.077999994,asaze,aze,Azerbaijan
2006,as,Asia,astur,Turkey,tur,71269487.759,asaze,aze,Azerbaijan
2006,eu,Europe,euaut,Austria,aut,80139437.162,asaze,aze,Azerbaijan
2006,eu,Europe,eucze,Czechia,cze,865829513.6700001,asaze,aze,Azerbaijan
2006,eu,Europe,eudeu,Germany,deu,328069781.18,asaze,aze,Azerbaijan
2006,eu,Europe,euesp,Spain,esp,33986492.99999999,asaze,aze,Azerbaijan
2006,eu,Europe,eufra,France,fra,605922214.89,asaze,aze,Azerbaijan
2006,eu,Europe,eugbr,United Kingdom,gbr,194821969.57000002,asaze,aze,Azerbaijan
2006,eu,Europe,eugrc,Greece,grc,56528570.174,asaze,aze,Azerbaijan
2006,eu,Europe,euita,Italy,ita,2382284699.3999996,asaze,aze,Azerbaijan
2006,eu,Europe,eunld,Netherlands,nld,32831261.1,asaze,aze,Azerbaijan
2006,eu,Europe,euprt,Portugal,prt,40049037.711,asaze,aze,Azerbaijan
2006,eu,Europe,eurou,Romania,rou,84909323.131,asaze,aze,Azerbaijan
2006,na,North America,nacan,Canada,can,37486337.755,asaze,aze,Azerbaijan
2006,na,North America,nausa,United States,usa,363527244.49,asaze,aze,Azerbaijan
2006,sa,South America,sabra,Brazil,bra,68463213.67000002,asaze,aze,Azerbaijan
2006,as,Asia,asjpn,Japan,jpn,125135667.60999998,asbhr,bhr,Bahrain
2006,as,Asia,aspak,Pakistan,pak,64611249.808000006,asbhr,bhr,Bahrain
2006,as,Asia,aschn,China,chn,189007504.54000002,asbrn,brn,Brunei
2006,as,Asia,asidn,Indonesia,idn,1467483693.2,asbrn,brn,Brunei
2006,as,Asia,asind,India,ind,234358177.85999998,asbrn,brn,Brunei
2006,as,Asia,asjpn,Japan,jpn,367389985.37,asbrn,brn,Brunei
2006,as,Asia,askor,South Korea,kor,858591430.3,asbrn,brn,Brunei
2006,as,Asia,asmys,Malaysia,mys,49889282.963,asbrn,brn,Brunei
2006,as,Asia,assgp,Singapore,sgp,105564049.72000001,asbrn,brn,Brunei
2006,as,Asia,astha,Thailand,tha,126782501.72,asbrn,brn,Brunei
2006,na,North America,nausa,United States,usa,436323312.09999996,asbrn,brn,Brunei
2006,oc,Oceania,ocaus,Australia,aus,852930167.76,asbrn,brn,Brunei
2006,oc,Oceania,ocnzl,New Zealand,nzl,249023064.73000002,asbrn,brn,Brunei
2006,af,Africa,afnga,Nigeria,nga,9033.639321499999,aschn,chn,China
2006,af,Africa,afsdn,Sudan,sdn,93601.82729,aschn,chn,China
2006,af,Africa,afzwe,Zimbabwe,zwe,1310.170279,aschn,chn,China
2006,as,Asia,asidn,Indonesia,idn,614277929.96,aschn,chn,China
2006,as,Asia,asjpn,Japan,jpn,422527102.10999995,aschn,chn,China
2006,as,Asia,askor,South Korea,kor,443735536.14,aschn,chn,China
2006,as,Asia,asmys,Malaysia,mys,47429298.93000001,aschn,chn,China
2006,as,Asia,asprk,North Korea,prk,246897513,aschn,chn,China
2006,as,Asia,assgp,Singapore,sgp,195519981.59,aschn,chn,China
2006,as,Asia,astha,Thailand,tha,401557.52929,aschn,chn,China
2006,na,North America,nausa,United States,usa,505769161.28,aschn,chn,China
2006,oc,Oceania,ocaus,Australia,aus,139137307.91,aschn,chn,China
2006,as,Asia,asind,India,ind,58979656.325,asgeo,geo,Georgia
2006,as,Asia,asisr,Israel,isr,1048657,asgeo,geo,Georgia
2006,eu,Europe,eubgr,Bulgaria,bgr,12397514,asgeo,geo,Georgia
2006,eu,Europe,euesp,Spain,esp,50210730.187,asgeo,geo,Georgia
2006,eu,Europe,eufra,France,fra,76123.366885,asgeo,geo,Georgia
2006,eu,Europe,eugbr,United Kingdom,gbr,16847818.391999997,asgeo,geo,Georgia
2006,eu,Europe,eugib,Gibraltar,gib,7567825,asgeo,geo,Georgia
2006,eu,Europe,eugrc,Greece,grc,23299508.141999997,asgeo,geo,Georgia
2006,eu,Europe,euprt,Portugal,prt,72015525.67999999,asgeo,geo,Georgia
2006,eu,Europe,eurou,Romania,rou,4971103.3919,asgeo,geo,Georgia
2006,na,North America,napan,Panama,pan,513547,asgeo,geo,Georgia
2006,na,North America,nausa,United States,usa,1345955,asgeo,geo,Georgia
2006,as,Asia,aslka,Sri Lanka,lka,37122.603022,ashkg,hkg,Hong Kong
2006,as,Asia,aschn,China,chn,853725066.42,asidn,idn,Indonesia
2006,as,Asia,asjpn,Japan,jpn,2665480152.2,asidn,idn,Indonesia
2006,as,Asia,askor,South Korea,kor,1302928959.5,asidn,idn,Indonesia
2006,as,Asia,asmys,Malaysia,mys,245660308.56,asidn,idn,Indonesia
2006,as,Asia,assgp,Singapore,sgp,248340041.95000002,asidn,idn,Indonesia
2006,as,Asia,astha,Thailand,tha,541644950.0799999,asidn,idn,Indonesia
2006,as,Asia,asvnm,Vietnam,vnm,29319696,asidn,idn,Indonesia
2006,as,Asia,asxxb,Chinese Taipei,,429348425,asidn,idn,Indonesia
2006,na,North America,nausa,United States,usa,393630149.84999996,asidn,idn,Indonesia
2006,oc,Oceania,ocaus,Australia,aus,1204085032.8,asidn,idn,Indonesia
2006,oc,Oceania,ocnzl,New Zealand,nzl,104025180,asidn,idn,Indonesia
2006,af,Africa,afdji,Djibouti,dji,47008,asind,ind,India
2006,af,Africa,afegy,Egypt,egy,75113.99999999999,asind,ind,India
